sentence,label,,,,
"""Je vais à Paris depuis Strasbourg en passant par Metz.""",1,,,,
"""Je voudrais un billet de train pour Lyon depuis Marseille.""",1,,,,
"""Je vais à Paris depuis Strasbourg en passant par Metz en hélicoptère.""",0,,,,
"""Quelle est la météo à Nice aujourd'hui?""",0,,,,
"""Réserve un vol pour New York depuis Paris.""",0,,,,
"""Je prends le train de Lille à Bordeaux.""",1,,,,
"""Je pars de Paris pour aller à Lyon demain matin.""",1,,,,
"""Je vais de Marseille à Bordeaux en train.""",1,,,,
"""Je pars de Nice pour Toulouse cet après-midi.""",1,,,,
"""Je voyage de Lille à Montpellier ce soir.""",1,,,,
"""Je vais de Nantes à Strasbourg la semaine prochaine.""",1,,,,
"""Je quitte Lyon pour me rendre à Paris demain.""",1,,,,
"
""Je pars de Nice ce soir pour arriver à Toulouse demain.""",1,,,,
"""Je me rends de Lille à Montpellier en voiture.""",1,,,,
"""Je prends un train de Nantes pour aller à Strasbourg.""",1,,,,
"""Je vais de Paris à Lyon sans arrêt.""",1,,,,
"""Je pars de Lyon ce soir pour arriver à Paris demain matin.""",1,,,,
"""Je voyage de Marseille à Bordeaux la semaine prochaine.""",1,,,,
"""Je pars de Nantes pour rejoindre Strasbourg en train.""",1,,,,
"""Je prends un bus de Lille pour Montpellier demain.""",1,,,,
"""Je vais à Lyon en partant de Paris demain matin.""",1,,,,
"""Je suis à Paris et je veux aller à Lyon.""",1,,,,
"""Je pars de Paris pour aller à Tokyo en bus.""",0,,,,
"""Je prends un bateau de Marseille pour aller à Bordeaux demain.""",0,,,,
"""Je voyage de Nice à Toulouse en hélicoptère.""",0,,,,
"""Je me rends à Lille en prenant un vol spatial.""",0,,,,
"""Je vais de Nantes à Strasbourg en moto sous-marine.""",0,,,,
"""Je quitte Lyon pour me rendre à New York à vélo.""",0,,,,
"""Je prends une trottinette pour aller de Marseille à Bordeaux.""",0,,,,
"""Je pars de Nice en montgolfière pour rejoindre Toulouse.""",0,,,,
"""Je me rends de Lille à la lune en fusée.""",0,,,,
"""Je vais de Paris à Lyon à dos de chameau.""",0,,,,
"""Je pars de Lyon ce soir pour arriver à Paris en sous-marin demain matin.""",0,,,,
"""Je voyage de Marseille à la jungle Amazonienne en train.""",0,,,,
"""Je pars de Nantes pour rejoindre la mer en patins à roulettes.""",0,,,,
"""Je suis à Strasbourg et je veux aller à Paris demain.""",1,,,,
"""Je suis à Lyon et je veux partir pour Marseille cet après-midi.""",1,,,,
"""Je me trouve à Bordeaux et j'aimerais rejoindre Lille ce soir.""",1,,,,
"""Je suis actuellement à Nice et je souhaite aller à Toulouse demain matin.""",1,,,,
"""Je suis à Paris et je veux prendre un vol pour New York.""",0,,,,
"""Je suis à Nantes et je veux rejoindre la Lune en fusée.""",0,,,,
"""Je me trouve à Marseille et je veux aller à Bordeaux en trottinette.""",0,,,,
"""Je suis à Lille et je veux voyager vers Montpellier en bateau.""",0,,,,
"""Je suis à Strasbourg et je veux aller à Paris à dos de chameau.""",0,,,,
"""Après avoir passé la nuit à Paris, je partirai demain pour Berlin.""",1,,,,F51
"""Mon voyage commencera à Lyon et se terminera à Amsterdam.""",1,,,,
"""Je dois quitter Marseille afin de rejoindre Bruxelles pour une réunion.""",1,,,,
"""En provenance de Nice, je me dirigerai vers Genève en train.""",1,,,,
"""Ayant séjourné à Bordeaux, je compte me rendre à Lisbonne en voiture.""",1,,,,
"
""Mon point de départ est Strasbourg avec une destination finale à Rome.""",1,,,,
"
""Après mon départ de Toulouse je voyagerai vers Vienne.""",1,,,,
"""Partant de Grenoble, mon chemin me mènera à Copenhague.""",1,,,,
"""Je suis actuellement à Montpellier et je prévois d'aller à Oslo.""",1,,,,
"""Résidant à Rennes, je dois aller à Stockholm la semaine prochaine.""",1,,,,
"""Je m'apprête à quitter Brest pour rejoindre Helsinki.""",1,,,,
"""De Dijon, je souhaite me rendre à Dublin en ferry.""",0,,,,
"""Je compte partir de Limoges pour aller à Athènes en montgolfière.""",0,,,,
"""En quittant Perpignan, je voyagerai jusqu'à Moscou en hélicoptère.""",0,,,,
"""Je vais quitter Metz pour atteindre Le Caire en sous-marin.""",0,,,,
"""Mon voyage débutera à Tours et se terminera à Sydney en fusée.""",0,,,,
"""Je prévois de partir de Reims pour aller à Tokyo en trottinette.""",0,,,,
"""Je suis à Clermont-Ferrand et je souhaite rejoindre Pékin à vélo.""",0,,,,
"""Je m'envole de Marseille pour rejoindre Bordeaux.""",1,,,,
"""Je quitterai Nantes pour atteindre Prague via un vol direct.""",1,,,,
"""Je suis basé à Lille mais je dois me déplacer jusqu'à Madrid.""",1,,,,
